料理の種類,料理名,エネルギー[キロカロリー],たんぱく質[グラム],脂質[グラム],炭水化物[グラム],食塩相当量[グラム],野菜量[グラム],材料1＿材料名,材料1＿重量[グラム],材料2＿材料名,材料2＿重量[グラム],材料3＿材料名,材料3＿重量[グラム],材料4＿材料名,材料4＿重量[グラム],材料5＿材料名,材料5＿重量[グラム],材料6＿材料名,材料6＿重量[グラム],材料7＿材料名,材料7＿重量[グラム],材料8＿材料名,材料8＿重量[グラム],材料9＿材料名,材料9＿重量[グラム],材料10＿材料名,材料10＿重量[グラム],材料11＿材料名,材料11＿重量[グラム],材料12＿材料名,材料12＿重量[グラム],材料13＿材料名,材料13＿重量[グラム],材料14＿材料名,材料14＿重量[グラム],材料15＿材料名,材料15＿重量[グラム],材料16＿材料名,材料16＿重量[グラム],材料17＿材料名,材料17＿重量[グラム],材料18＿材料名,材料18＿重量[グラム],材料19＿材料名,材料19＿重量[グラム],材料20＿材料名,材料20＿重量[グラム],,
魚料理＿焼き物・炒め物,ブリの照り焼き,286,19.7,19.8,4.2,1.0,0.0,ぶり・成魚＿生（切り身）,90,こいくちしょうゆ,6,みりん風調味料,6,調合油,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿焼き物・炒め物,鮭のムニエル,174,20.5,7.8,3.5,1.1,0.0,しろさけ＿生（切り身）,90,食塩,0.8,こしょう・混合、粉,0.01,薄力粉・1等,4.5,有塩バター,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿焼き物・炒め物,鰆のねぎ味噌焼き,198,14.7,10.0,9.1,1.6,15.0,さわら＿生（切り身）,65,根深ねぎ・葉、軟白＿生,15,米みそ・淡色辛みそ,12,みりん風調味料,9,清酒・上撰,7.5,調合油,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿焼き物・炒め物,焼魚の野菜あんかけ,162,12.6,8.4,8.3,0.9,25.1,あまだい＿生,60,食塩,0.3,こしょう・混合、粉,0.01,薄力粉・1等,4.5,あおのり＿素干し,0.1,調合油,6,根深ねぎ・葉、軟白＿生,3,まいたけ＿生,10,にんじん・根、皮つき＿生,10,ぎんなん＿生,3,切りみつば・葉＿生,2,かつお・昆布だし,40,こいくちしょうゆ,3,みりん風調味料,1.5,じゃがいもでん粉,1.1,,,,,,,,,,,,
魚料理＿焼き物・炒め物,魚のホイル焼き,143,17.1,5.4,6.8,1.4,70.0,しろさけ＿生（切り身）,70,食塩,0.3,こしょう・混合、粉,0.01,にんじん・根、皮つき＿生,20,たまねぎ・りん茎＿生,30,えのきたけ＿生,20,有塩バター,3,こいくちしょうゆ,6,レモン・果汁＿生,1.5,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿焼き物・炒め物,サバのチリ味炒め,235,16.0,12.6,11.1,2.3,23.5,さば・まさば＿生,70,薄力粉・1等,3,調合油,2,根深ねぎ・葉、軟白＿生,15,しょうが・根茎＿生,3,にんにく・りん茎＿生,0.5,車糖・上白糖,1.5,こいくちしょうゆ,9,清酒・上撰,7.5,トマト加工品・ケチャップ,15,トウバンジャン,1,調合油,2,こねぎ・葉＿生,5,,,,,,,,,,,,,,,,
魚料理＿焼き物・炒め物,エビのチリ味炒め,205,22.4,6.6,9.0,2.4,13.5,くるまえび・養殖＿生,100,食塩,0.6,清酒・上撰,5,調合油,6,根深ねぎ・葉、軟白＿生,10,しょうが・根茎＿生,3,にんにく・りん茎＿生,0.5,トマト加工品・ケチャップ,10,清酒・上撰,10,こいくちしょうゆ,6,車糖・上白糖,3,トウバンジャン,1,じゃがいもでん粉,1,,,,,,,,,,,,,,,,
魚料理＿揚げ物,鯵フライ（ソース付き）,259,17.9,14.2,12.7,1.2,0.0,あじ・まあじ＿生,70,食塩,0.3,こしょう・混合、粉,0.03,薄力粉・1等,4.5,鶏卵・全卵＿生,12.5,パン粉＿乾燥,10,調合油,9.7,ウスターソース・中濃ソース,9,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿揚げ物,南蛮漬（あじ）,173,15.0,9.5,5.5,0.7,50.2,あじ・まあじ＿生,70,調合油,7,たまねぎ・りん茎＿生,30,にんじん・根、皮つき＿生,10,青ピーマン＿生,10,とうがらし＿乾,0.2,穀物酢,10,車糖・上白糖,1,食塩,0.5,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿揚げ物,揚げ鮭のマリネ,174,14.0,8.5,8.8,0.7,45.0,しろさけ＿生（切り身）,60,食塩,0.2,じゃがいもでん粉,4,調合油,6,たまねぎ・りん茎＿生,40,にんじん・根、皮つき＿生,5,穀物酢,15,こいくちしょうゆ,1,車糖・上白糖,1,食塩,0.2,こしょう・白、粉,0.01,かつお・昆布だし,15,,,,,,,,,,,,,,,,,,
魚料理＿揚げ物,さつま揚げ,242,13.1,17.9,5.3,1.1,16.0,まいわし＿生,60,根深ねぎ・葉、軟白＿生,5,にんじん・根、皮つき＿生,5,ごぼう・根＿生,5,しょうが・根茎＿生,1,じゃがいもでん粉,2,車糖・上白糖,1,こいくちしょうゆ,6,鶏卵・全卵＿生,5,調合油,9,,,,,,,,,,,,,,,,,,,,,,
魚料理＿揚げ物,イカの天ぷら（大根おろし天つゆ付き）,262,19.1,12.0,17.3,2.1,23.0,するめいか＿生,90,薄力粉・1等,13.5,鶏卵・全卵＿生,6,調合油,10,大根・根、皮つき＿生,20,しょうが・根茎＿生,3,こいくちしょうゆ,9,みりん風調味料,9,かつおだし,30,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿揚げ物,エビの天ぷら（大根おろし天つゆ付き）,303,24.8,13.8,17.1,1.8,23.0,くるまえび・養殖＿生,100,薄力粉・1等,13.5,鶏卵・全卵＿生,9,調合油,12,大根・根、皮つき＿生,20,しょうが・根茎＿生,3,こいくちしょうゆ,9,みりん風調味料,9,かつおだし,30,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿揚げ物,いかリング,173,14.7,9,7,1.4,0.0,するめいか＿生,80,食塩,0.3,こいくちしょうゆ,3,じゃがいもでん粉,8,調合油,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿揚げ物,エビフライ（1尾、ソース付き）,182,15.3,8.7,9.1,1.4,0.0,ブラックタイガー・養殖＿生,70,食塩,0.5,こしょう・混合、粉,0.01,薄力粉・1等,3,鶏卵・全卵＿生,10,パン粉＿乾燥,6,調合油,7,ウスターソース・中濃ソース,9,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿揚げ物,カキフライ（4個）,157,6.7,9.9,9.3,1.6,0.0,かき・養殖＿生,80,食塩,0.5,薄力粉・1等,4,鶏卵・全卵＿生,4,パン粉＿乾燥,4,調合油,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿煮物,鯛の煮付け,162,15.5,4.1,10.1,1.9,0.0,たい・まだい・天然＿生,70,昆布だし,50,清酒・上撰,15,車糖・上白糖,3.75,みりん・本みりん,9,こいくちしょうゆ,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿煮物,カレイの煮つけ,137,17.5,1.1,10.4,1.7,3.0,まがれい＿生,85,しょうが・根茎＿生,3,昆布だし,50,清酒・上撰,7.5,車糖・上白糖,4.5,みりん・本みりん,9,こいくちしょうゆ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿煮物,サバの味噌煮,196,17.3,9.9,5.9,1.1,3.0,さば・まさば＿生,80,清酒・上撰,8,車糖・上白糖,4,こいくちしょうゆ,2,しょうが・根茎＿生,3,米みそ・淡色辛みそ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿煮物,秋刀魚のみぞれ煮（1匹）,402,19.6,28.2,12.7,2.1,60.0,さんま＿生,98,じゃがいもでん粉,3,調合油,4,大根・根、皮つき＿生,50,こねぎ・葉＿生,5,かつお・昆布だし,50,しょうが・根茎＿生,5,みりん・本みりん,9,こいくちしょうゆ,12,車糖・上白糖,2.25,,,,,,,,,,,,,,,,,,,,,,
魚料理＿煮物,ブリ大根,269,18.8,14.2,12.5,2.2,103.0,ぶり・成魚＿生（切り身）,80,大根・根、皮つき＿生,100,しょうが・根茎＿生,3,こいくちしょうゆ,12,清酒・上撰,10,車糖・上白糖,4.5,昆布だし,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿煮物,イカと里芋煮,161,14.7,0.9,20.8,1.4,2.0,するめいか＿生,70,さといも＿生,100,こいくちしょうゆ,6,車糖・上白糖,4.5,清酒・上撰,7.5,みりん・本みりん,4.5,しょうが・根茎＿生,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿刺身,マグロ（赤身）の刺身（5切）（醤油付き）,91,17.7,1.1,1.5,1.1,0.0,くろまぐろ・赤身＿生（切り身）,65,わさび・練り,2,こいくちしょうゆ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿刺身,マグロ（とろ）の刺身（5切）（醤油付き）,199,11.6,15.3,1.5,1.1,0.0,くろまぐろ・脂身＿生（切り身）,55,わさび・練り,2,こいくちしょうゆ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿刺身,タイの刺身（5切）（醤油付き）,163,17.7,8.8,1.3,0.8,0.0,たい・まだい・養殖＿生,80,わさび・練り,2,こいくちしょうゆ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿刺身,かんぱちの刺身（5切）（醤油付き）,113,17.3,3.6,1.5,1.2,0.0,かんぱち＿生,80,わさび・練り,2,こいくちしょうゆ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿刺身,ブリの刺身（5切）（醤油付き）,215,17.6,14.3,1.6,1.1,0.0,ぶり・成魚＿生（切り身）,80,わさび・練り,2,こいくちしょうゆ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿刺身,サーモンの刺身（5切）（醤油付き）,190,17.2,12.0,1.4,1.1,0.0,にじます・海面養殖＿生（切り身）,80,わさび・練り,2,こいくちしょうゆ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿刺身,イカの刺身（醤油付き）,79,14.9,1.2,1.4,1.3,0.0,するめいか＿生,80,わさび・練り,2,こいくちしょうゆ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿刺身,タコの刺身（5切）（醤油付き）,87,17.7,0.8,1.3,1.2,0.0,まだこ＿ゆで,80,わさび・練り,2,こいくちしょうゆ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚料理＿刺身,甘えびの刺身（5尾）（醤油付き）,17,3.2,0.1,0.6,0.5,0.0,あまえび＿生,15,わさび・練り,1,こいくちしょうゆ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卵料理,たまごの袋煮,213,12.7,15.1,4.8,1.1,5.3,鶏卵・全卵＿生,50,油揚げ,30,かんぴょう＿乾,1,かつお・昆布だし,180,車糖・上白糖,2,こいくちしょうゆ,5,清酒・上撰,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卵料理,茶碗蒸し,103,12.4,4.4,2.9,1.7,15.0,鶏卵・全卵＿生,37,かつおだし,100,みりん風調味料,1.5,食塩,0.6,うすくちしょうゆ,2.2,若鶏・むね、皮なし＿生,25,うすくちしょうゆ,1.5,蒸しかまぼこ,10,生しいたけ＿生,10,切りみつば・葉＿生,5,,,,,,,,,,,,,,,,,,,,,,
卵料理,ゆで卵（塩）,76,6.2,5.2,0.2,0.5,0.0,鶏卵・全卵＿生,50,食塩,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卵料理,目玉焼き（塩）,94,6.2,7.2,0.2,0.5,0.0,鶏卵・全卵＿生,50,調合油,2,食塩,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卵料理,ハムエッグ,152,9.5,11.9,0.4,1.0,0.0,鶏卵・全卵＿生,50,豚・ハム・ロース,20,調合油,4,食塩,0.3,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卵料理,厚焼き卵,125,6.3,9.2,3.3,0.7,0.0,鶏卵・全卵＿生,50,かつお・昆布だし,15,車糖・上白糖,3,食塩,0.3,こいくちしょうゆ,1.5,調合油,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卵料理,オムレツ,126,6.5,10.3,0.5,0.6,0.0,鶏卵・全卵＿生,50,普通牛乳,8,食塩,0.3,有塩バター,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大豆・大豆製品料理,湯豆腐（3分の1丁）（味付けあり）,103,7.0,3.1,10.6,2.1,43.0,絹ごし豆腐,100,しゅんぎく・葉＿生,25,生しいたけ＿生,10,昆布だし,175,こいくちしょうゆ,12,みりん・本みりん,9,こねぎ・葉＿生,5,しょうが・根茎＿生,3,,,,,,,,,,,,,,,,,,,,,,,,,,
大豆・大豆製品料理,枝豆,81,7.0,3.7,5.3,1.0,60.0,えだまめ＿生,60,食塩,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大豆・大豆製品料理,冷奴（3分の1丁、しょうゆかけ）,66,6.2,3.1,3.0,0.9,7.0,絹ごし豆腐,100,こねぎ・葉＿生,5,しょうが・根茎＿生,2,かつお・削り節,1,こいくちしょうゆ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大豆・大豆製品料理,揚げ出し豆腐（2分の1丁）,277,8.1,19.5,14.9,0.9,6.0,絹ごし豆腐,150,じゃがいもでん粉,10,調合油,15,かつお・昆布だし,50,こいくちしょうゆ,6,みりん・本みりん,6,こねぎ・葉＿生,3,しょうが・根茎＿生,3,,,,,,,,,,,,,,,,,,,,,,,,,,
大豆・大豆製品料理,麻婆豆腐,243,15.3,16.5,6.6,1.3,19.0,木綿豆腐,100,豚・ひき肉＿生,40,根深ねぎ・葉、軟白＿生,15,しょうが・根茎＿生,3,にんにく・りん茎＿生,1,調合油,6,鳥がらだし,30,米みそ・赤色辛みそ,3,こいくちしょうゆ,4,車糖・上白糖,1.5,トウバンジャン,1.5,じゃがいもでん粉,1,,,,,,,,,,,,,,,,,,
大豆・大豆製品料理,高野豆腐の含め煮（1枚）,93,8.1,5.3,3.0,0.9,0.0,凍り豆腐,16,かつお・昆布だし,60,車糖・上白糖,1.8,うすくちしょうゆ,1,食塩,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大豆・大豆製品料理,厚揚げの煮物（4分の1枚）,87,5.8,5.7,2.4,0.5,0.0,生揚げ,50,かつお・昆布だし,40,こいくちしょうゆ,3.5,みりん・本みりん,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大豆・大豆製品料理,おからの炒め煮,114,3.5,5.4,12.7,0.9,40.0,おから・新製法,35,にんじん・根、皮つき＿生,10,生しいたけ＿生,10,こねぎ・葉＿生,10,調合油,4,かつお・昆布だし,50,車糖・上白糖,4.5,こいくちしょうゆ,6,清酒・上撰,5,さやいんげん・若ざや＿生,10,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,ほうれん草のお浸し,20,2.6,0.3,2.6,0.6,70.0,ほうれんそう・葉＿生,70,かつお・削り節,1,こいくちしょうゆ,4,かつお・昆布だし,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,小松菜のお浸し,16,2.1,0.2,2.1,0.6,70.0,こまつな・葉＿生,70,かつお・削り節,1,こいくちしょうゆ,4,かつお・昆布だし,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,なすの中華お浸し,21,1.0,0.1,4.6,0.8,50.5,なす＿生,30,赤ピーマン＿生,10,黄ピーマン＿生,10,にんにく・おろし,0.5,トウバンジャン,0.75,こいくちしょうゆ,4.5,穀物酢,1.6,車糖・上白糖,1,中華だし,15,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,ほうれん草のごま和え,37,2.3,1.4,4.9,0.6,70.0,ほうれんそう・葉＿生,70,こいくちしょうゆ,4,車糖・上白糖,2,ごま＿いり,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,菜花のからし和え,29,3.5,0.3,4.9,0.7,70.0,なばな・和種・花らい・茎＿生,70,こいくちしょうゆ,4,かつお・昆布だし,4,からし・練り,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,わかめとレタスのポン酢和え,21,1.0,0.9,3.2,0.7,65.0,湯通し塩蔵わかめ＿塩抜き,20,レタス＿生,30,たまねぎ・りん茎＿生,15,こいくちしょうゆ,3,穀物酢,3,ごま油,0.75,かつお・削り節,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,夏野菜のなめたけ和え,15,0.9,0.1,4.0,0.3,50.0,トマト＿生,20,オクラ＿生,15,なす＿生,15,えのきたけ・味付け瓶詰,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,トマトとオクラのごまおかか和え,35,1.9,0.9,5.8,0.4,72.0,トマト＿生,30,オクラ＿生,25,きゅうり＿生,15,しそ・葉＿生,2,穀物酢,2.5,車糖・上白糖,1.5,こいくちしょうゆ,3,ごま＿いり,1.5,かつお・かつお節,0.5,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,豆苗ともやしのごま酢和え,40,2.7,1.0,6.0,0.7,60.5,トウミョウ・茎葉＿生,30,ブラックマッペもやし＿生,30,穀物酢,7.5,こいくちしょうゆ,4.5,車糖・上白糖,3,しょうが・根茎＿生,0.5,ごま＿いり,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,小松菜とこんにゃくのごま和え,22,1.0,0.6,4.0,0.4,40.0,こまつな・葉＿生,30,にんじん・根、皮つき＿生,10,こんにゃく・しらたき,30,車糖・上白糖,1,こいくちしょうゆ,3,ごま＿いり,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,チンゲン菜のさっぱりネギだれ,22,0.4,0.1,5.0,0.3,64.0,チンゲンサイ・葉＿生,45,にんじん・根、皮つき＿生,15,根深ねぎ・葉、軟白＿生,4,穀物酢,7.5,車糖・上白糖,2,ゆず・果皮＿生,0.5,食塩,0.2,とうがらし・粉,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,大根と長いもの梅びしお和え,23,0.6,0.1,5.0,0.2,20.0,大根・根、皮つき＿生,20,やまのいも・ながいも＿生,20,梅びしお,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,小松菜の昆布和え,21,1.9,0.2,5.1,0.9,80.0,こまつな・葉＿生,60,にんじん・根、皮つき＿生,20,塩昆布,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,きのこのおろし和え,36,2.4,1.8,6.3,0.6,85.0,ひらたけ・エリンギ＿生,30,生しいたけ＿生,20,えのきたけ・味付け瓶詰,10,大根・根、皮つき＿生,25,ごま油,1,からし・粒入りマスタード,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,にんじんとえのきのナムル,52,0.8,3.6,5.0,1.2,55.0,にんじん・根、皮つき＿生,40,えのきたけ＿生,15,食塩,1.2,ごま＿いり,1,ごま油,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,きゅうりとワカメの酢の物,13,0.9,0.2,2.9,1.2,70.0,きゅうり＿生,40,食塩,0.3,湯通し塩蔵わかめ＿塩抜き,30,穀物酢,7.5,昆布だし,7.5,車糖・上白糖,0.5,食塩,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,きゅうりとみょうがの甘酢和え,18,0.7,0.1,4.1,0.5,57.0,きゅうり＿生,30,食塩,0.2,湯通し塩蔵わかめ＿塩抜き,20,みょうが・花穂＿生,7,穀物酢,7.5,車糖・上白糖,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿お浸し・和え物・酢の物,紅白なます,26,0.4,0.1,6.0,0.3,70.0,大根・根、皮つき＿生,60,にんじん・根、皮つき＿生,10,穀物酢,8,車糖・上白糖,2.5,食塩,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,レタスサラダ（ドレッシングなし）,15,0.7,0.1,3.4,0.0,90.0,レタス＿生,50,きゅうり＿生,20,トマト・ミニトマト＿生,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,コーンサラダ（ドレッシングなし）,38,1.4,0.2,8.5,0.2,110.0,レタス＿生,40,きゅうり＿生,20,トマト・ミニトマト＿生,20,スイートコーン・缶詰、ホールカーネルスタイル,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,ツナサラダ（ドレッシングなし）,94,6.0,6.6,3.2,0.3,80.0,レタス＿生,40,きゅうり＿生,20,トマト・ミニトマト＿生,20,まぐろ・缶詰油漬フレーク・ライト,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,ポテトサラダ,207,4.4,12.2,19.7,0.2,30.0,じゃがいも＿生,100,にんじん・根、皮つき＿生,10,きゅうり＿生,20,鶏卵・全卵＿生,20,調合油,4,穀物酢,5,マヨネーズ・全卵型,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,ごぼうサラダ,103,1.7,6.6,9.9,0.7,70.0,ごぼう・根＿生,50,にんじん・根、皮つき＿生,10,きゅうり＿生,10,マヨネーズ・全卵型,8,こいくちしょうゆ,4,ごま＿いり,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,大根サラダ（ドレッシングなし）,14,0.5,0.1,3.0,0.0,75.0,大根・根、皮つき＿生,70,かいわれ大根・芽生え＿生,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,春キャベツのサラダ（味付けあり）,40,1.8,1.0,6.7,0.3,65.0,キャベツ＿生,40,たまねぎ・りん茎＿生,20,スイートコーン・缶詰、ホールカーネルスタイル,5,ヨーグルト・全脂無糖,20,レモン・果汁＿生,2.5,車糖・上白糖,0.75,食塩,0.2,こしょう・白、粉,0.01,プロセスチーズ,1,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,ミモザサラダ（マヨネーズ和え）,119,3.3,8.7,7.6,0.3,30.0,じゃがいも＿生,30,なばな・和種・花らい・茎＿生,30,マヨネーズ・全卵型,10,脱脂乳,2.5,食塩,0.1,鶏卵・全卵＿生,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,かぼちゃのヨーグルトサラダ（マヨネーズ和え）,103,1.9,5.5,12.3,0.1,60.0,かぼちゃ（西洋）＿生,50,たまねぎ・りん茎＿生,10,調合油,0.5,脱脂乳,1.5,ヨーグルト・全脂無糖,5,マヨネーズ・全卵型,4,こしょう・白、粉,0.01,アーモンド＿乾,3,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,かぼちゃサラダ（マヨネーズ和え）,74,1.3,3.4,10.3,0.4,65.0,かぼちゃ（西洋）＿生,40,たまねぎ・りん茎＿生,15,しめじ・ぶなしめじ＿生,10,無塩バター,1,食塩,0.3,こしょう・混合、粉,0.01,普通牛乳,2.5,マヨネーズ・全卵型,3,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,れんこんのマヨサラダ,91,2.1,6.2,7.2,0.4,50.0,れんこん・根茎＿生,40,きょうな・葉＿生,10,まぐろ・缶詰油漬フレーク・ライト,5,マヨネーズ・全卵型,6.6,ヨーグルト・全脂無糖,4,食塩,0.2,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,白菜ツナサラダ（マヨ醤油和え）,64,1.5,5.6,1.9,0.6,40.0,はくさい＿生,40,まぐろ・缶詰油漬フレーク・ライト,5,マヨネーズ・全卵型,6,こいくちしょうゆ,3,穀物酢,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,大根と水菜のサラダ（三杯酢）,25,0.8,0.6,4.3,0.5,55.0,大根・根、皮つき＿生,40,にんじん・根、皮つき＿生,10,きょうな・葉＿生,5,こいくちしょうゆ,3,穀物酢,2.5,車糖・上白糖,1,ごま＿いり,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿サラダ,白菜とりんごのサラダ（ドレッシングかけ）,42,0.5,2.1,5.7,0.2,60.0,はくさい＿生,60,りんご＿生,25,穀物酢,5,オリーブ油,2,食塩,0.2,こしょう・混合、粉,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿焼き物・炒め物,れんこん挟み焼き＿きのこ餡かけ,213,12.8,11.3,14.5,1.0,61.0,れんこん・根茎＿生,40,鶏・ひき肉＿生,50,はんぺん,10,根深ねぎ・葉、軟白＿生,10,しょうが・根茎＿生,1,じゃがいもでん粉,0.75,食塩,0.2,こしょう・白、粉,0.01,じゃがいもでん粉,3,調合油,7,しめじ・ぶなしめじ＿生,5,えのきたけ＿生,5,かつお・昆布だし,40,うすくちしょうゆ,3,みりん・本みりん,1.5,じゃがいもでん粉,2,,,,,,,,,,
野菜料理＿焼き物・炒め物,しいたけの網焼き（3枚）,9,1.4,0.2,2.3,0.6,40.0,生しいたけ＿生,40,食塩,0.2,こいくちしょうゆ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿焼き物・炒め物,焼き茄子,26,2.1,0.1,4.8,0.9,82.0,なす＿生,80,かつお・削り節,1,しょうが・根茎＿生,2,こいくちしょうゆ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿焼き物・炒め物,野菜の甘酢炒め,75,1.0,3.1,10.6,0.6,50.0,れんこん・根茎＿生,20,にんじん・根、皮つき＿生,10,青ピーマン＿生,10,たまねぎ・りん茎＿生,10,車糖・上白糖,4.5,穀物酢,3.3,こいくちしょうゆ,4,清酒・上撰,3.3,かつお・昆布だし,15,ごま油,3,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿焼き物・炒め物,にんじんのカレーきんぴら,57,0.5,4.4,4.2,0.2,45.0,にんじん・根、皮つき＿生,40,まいたけ＿生,5,調合油,2,カレー粉,0.25,固形コンソメ,0.2,マヨネーズ・全卵型,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿焼き物・炒め物,大根きんぴら,71,1.0,4.1,7.9,0.8,80.0,大根・根、皮つき＿生,50,にんじん・根、皮つき＿生,20,大根・葉＿生,10,車糖・上白糖,3,こいくちしょうゆ,5,ごま油,4,とうがらし・粉,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜料理＿焼き物・炒め物,野菜きんぴら,100,2.0,4.2,13.4,0.8,80.0,ごぼう・根＿生,40,れんこん・根茎＿生,20,にんじん・根、皮つき＿生,20,ごま＿いり,2,こいくちしょうゆ,5,清酒・上撰,3,みりん・本みりん,3,ごま油,3,,,,,,,,,,,,,,,,,,,,,,,,,,
